Participant,Trial,State,Deviant,Concurrent_Articulation,I1,I2,I3,I4,I5,I6,I7,I8,O1,O2,O3,O4,O5,O6,O7,O8
2,5,SS,With_Deviant,With_Concurrent_Articulation,4,6,0,0,0,0,0,1,4,6,2,8,3,5,7,1
2,6,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,0,0,3,2,7,3,5,8,6,1,4,2,7
3,1,SS,No_Deviant,No_Concurrent_Articulation,3,6,8,5,7,1,2,4,3,6,8,1,7,5,2,4
3,2,SS,No_Deviant,No_Concurrent_Articulation,8,4,7,1,6,3,2,5,8,4,7,1,6,3,5,2
3,3,SS,No_Deviant,No_Concurrent_Articulation,2,5,8,1,7,3,6,4,2,5,8,1,7,3,6,4
3,4,SS,No_Deviant,No_Concurrent_Articulation,3,6,1,8,2,5,4,7,3,6,1,8,2,5,7,4
3,5,SS,No_Deviant,No_Concurrent_Articulation,6,4,7,2,8,5,3,1,6,4,7,2,8,5,1,3
3,6,SS,No_Deviant,No_Concurrent_Articulation,6,2,7,3,8,4,1,5,6,2,8,3,7,4,1,5
3,1,SS,With_Deviant,No_Concurrent_Articulation,2,7,5,3,8,1,4,6,2,7,5,3,8,1,4,6
3,2,SS,With_Deviant,No_Concurrent_Articulation,0,0,0,0,0,0,0,0,4,1,6,8,3,5,2,7
3,3,SS,With_Deviant,No_Concurrent_Articulation,5,1,4,8,2,6,3,7,5,1,4,8,2,6,3,7
3,4,SS,With_Deviant,No_Concurrent_Articulation,6,2,4,7,6,1,0,8,6,2,5,7,3,1,4,8
3,5,SS,With_Deviant,No_Concurrent_Articulation,8,5,2,6,4,7,3,1,8,5,2,6,4,7,3,1
3,6,SS,With_Deviant,No_Concurrent_Articulation,5,7,4,2,6,3,1,8,5,7,4,2,6,8,3,1
3,1,SS,No_Deviant,With_Concurrent_Articulation,6,1,3,8,4,2,5,7,6,1,3,8,4,2,5,7
3,2,SS,No_Deviant,With_Concurrent_Articulation,7,2,6,3,8,4,1,5,7,3,6,2,4,8,1,5
3,3,SS,No_Deviant,With_Concurrent_Articulation,7,4,8,6,2,5,1,3,7,4,8,6,2,5,1,3
3,4,SS,No_Deviant,With_Concurrent_Articulation,2,6,1,3,7,0,0,0,2,6,1,3,7,4,8,5
3,5,SS,No_Deviant,With_Concurrent_Articulation,3,7,4,0,1,0,0,0,3,7,4,6,1,8,5,2
3,6,SS,No_Deviant,With_Concurrent_Articulation,5,8,4,2,0,0,0,0,6,8,4,2,5,7,3,1
3,1,SS,With_Deviant,With_Concurrent_Articulation,3,6,8,4,2,5,1,7,3,6,8,4,2,5,7,1
3,2,SS,With_Deviant,With_Concurrent_Articulation,3,6,8,4,2,5,7,1,3,6,8,4,2,5,7,1
3,3,SS,With_Deviant,With_Concurrent_Articulation,3,1,6,8,0,0,0,0,3,1,6,8,4,2,5,7
3,4,SS,With_Deviant,With_Concurrent_Articulation,3,5,7,4,2,8,1,6,3,5,7,4,8,2,6,1
3,5,SS,With_Deviant,With_Concurrent_Articulation,4,6,2,5,0,0,0,7,4,6,2,8,3,5,7,1
3,6,SS,With_Deviant,With_Concurrent_Articulation,3,5,8,6,1,4,7,2,3,5,8,6,1,4,2,7
4,1,SS,No_Deviant,No_Concurrent_Articulation,6,2,5,1,4,0,7,8,6,2,5,1,4,7,3,8
4,2,SS,No_Deviant,No_Concurrent_Articulation,7,1,5,3,8,6,0,0,7,1,5,3,6,4,2,8
4,3,SS,No_Deviant,No_Concurrent_Articulation,4,7,1,6,2,0,0,0,4,7,1,6,2,5,8,3
4,4,SS,No_Deviant,No_Concurrent_Articulation,4,7,5,2,6,8,1,3,4,7,5,2,6,8,1,3
4,5,SS,No_Deviant,No_Concurrent_Articulation,3,8,4,1,6,2,5,7,3,8,4,1,6,2,5,7
4,6,SS,No_Deviant,No_Concurrent_Articulation,2,5,7,3,6,0,8,1,2,5,7,3,6,4,8,1
4,1,SS,With_Deviant,No_Concurrent_Articulation,5,8,4,0,0,0,0,3,5,8,4,2,6,1,7,3
4,2,SS,With_Deviant,No_Concurrent_Articulation,3,5,7,4,0,0,0,8,3,5,7,4,8,2,6,1
4,3,SS,With_Deviant,No_Concurrent_Articulation,6,4,5,8,1,0,0,2,6,4,8,5,1,3,7,2
4,4,SS,With_Deviant,No_Concurrent_Articulation,6,3,5,8,1,0,0,0,6,3,8,1,4,2,7,5
4,5,SS,With_Deviant,No_Concurrent_Articulation,8,1,6,3,0,0,0,5,8,1,3,6,2,4,7,5
4,6,SS,With_Deviant,No_Concurrent_Articulation,4,8,2,5,3,0,0,0,4,2,8,5,3,7,1,6
4,1,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,0,4,8,1,3,6,2,7,5,8,4,1
4,2,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,0,0,0,3,7,2,4,8,5,1,6,3
4,3,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,0,0,0,2,4,1,7,3,6,8,5,2
4,4,SS,No_Deviant,With_Concurrent_Articulation,3,6,8,5,0,0,0,0,3,6,8,5,1,7,2,4
4,5,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,0,0,0,6,8,5,2,4,7,3,1,6
4,6,SS,No_Deviant,With_Concurrent_Articulation,5,0,0,0,0,4,8,7,5,3,1,6,8,4,2,7
4,1,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,0,0,7,0,8,2,5,7,4,6,1,3,8
4,2,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,0,0,5,7,8,2,6,3,1,4,7,5,8
4,3,SS,With_Deviant,With_Concurrent_Articulation,3,5,2,7,0,0,0,0,3,5,2,7,4,6,8,1
4,4,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,0,0,0,0,1,2,8,5,7,4,6,3,1
4,5,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,0,0,5,0,4,6,1,8,3,5,2,7,4
4,6,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,0,0,0,8,3,6,1,7,4,2,8,5,3
5,1,SS,No_Deviant,No_Concurrent_Articulation,6,2,5,7,3,8,4,1,6,2,5,1,4,7,3,8
5,2,SS,No_Deviant,No_Concurrent_Articulation,7,1,5,3,6,4,8,2,7,1,5,3,6,4,2,8
5,3,SS,No_Deviant,No_Concurrent_Articulation,4,7,1,6,2,5,8,3,4,7,1,6,2,5,8,3
5,4,SS,No_Deviant,No_Concurrent_Articulation,4,7,5,2,6,8,3,1,4,7,5,2,6,8,1,3
5,5,SS,No_Deviant,No_Concurrent_Articulation,3,8,4,1,6,2,5,7,3,8,4,1,6,2,5,7
5,6,SS,No_Deviant,No_Concurrent_Articulation,2,5,7,3,6,4,8,1,2,5,7,3,6,4,8,1
5,1,SS,With_Deviant,No_Concurrent_Articulation,5,8,4,2,6,3,1,7,5,8,4,2,6,1,7,3
5,2,SS,With_Deviant,No_Concurrent_Articulation,7,5,3,4,1,6,2,8,3,5,7,4,8,2,6,1
5,3,SS,With_Deviant,No_Concurrent_Articulation,6,4,8,5,7,3,1,2,6,4,8,5,1,3,7,2
5,4,SS,With_Deviant,No_Concurrent_Articulation,6,3,8,1,4,7,2,5,6,3,8,1,4,2,7,5
5,5,SS,With_Deviant,No_Concurrent_Articulation,8,3,1,6,2,4,7,5,8,1,3,6,2,4,7,5
5,6,SS,With_Deviant,No_Concurrent_Articulation,4,8,2,5,6,7,3,1,4,2,8,5,3,7,1,6
5,1,SS,No_Deviant,With_Concurrent_Articulation,5,7,3,2,1,0,0,8,3,6,2,7,5,8,4,1
5,2,SS,No_Deviant,With_Concurrent_Articulation,7,1,4,2,0,0,3,8,7,2,4,8,5,1,6,3
5,3,SS,No_Deviant,With_Concurrent_Articulation,4,1,7,3,5,6,0,8,4,1,7,3,6,8,5,2
5,4,SS,No_Deviant,With_Concurrent_Articulation,3,6,8,1,5,2,0,0,3,6,8,5,1,7,2,4
5,5,SS,No_Deviant,With_Concurrent_Articulation,8,5,2,4,1,3,6,0,8,5,2,4,7,3,1,6
5,6,SS,No_Deviant,With_Concurrent_Articulation,5,3,1,7,4,2,0,0,5,3,1,6,8,4,2,7
5,1,SS,With_Deviant,With_Concurrent_Articulation,2,5,7,4,6,1,3,8,2,5,7,4,6,1,3,8
5,2,SS,With_Deviant,With_Concurrent_Articulation,2,7,3,1,4,8,5,0,2,6,3,1,4,7,5,8
5,3,SS,With_Deviant,With_Concurrent_Articulation,5,7,2,3,8,0,0,0,3,5,2,7,4,6,8,1
5,4,SS,With_Deviant,With_Concurrent_Articulation,2,5,8,7,3,1,0,0,2,8,5,7,4,6,3,1
5,5,SS,With_Deviant,With_Concurrent_Articulation,6,1,3,8,2,0,0,4,6,1,8,3,5,2,7,4
5,6,SS,With_Deviant,With_Concurrent_Articulation,6,1,4,8,3,2,5,0,6,1,7,4,2,8,5,3
6,1,SS,No_Deviant,No_Concurrent_Articulation,6,2,5,4,1,7,0,8,6,2,5,1,4,7,3,8
6,2,SS,No_Deviant,No_Concurrent_Articulation,7,1,5,3,6,4,0,8,7,1,5,3,6,4,2,8
6,3,SS,No_Deviant,No_Concurrent_Articulation,4,6,1,0,0,0,3,8,4,7,1,6,2,5,8,3
6,4,SS,No_Deviant,No_Concurrent_Articulation,4,7,5,0,8,0,0,3,4,7,5,2,6,8,1,3
6,5,SS,No_Deviant,No_Concurrent_Articulation,3,8,4,1,6,2,7,4,3,8,4,1,6,2,5,7
6,6,SS,No_Deviant,No_Concurrent_Articulation,2,5,7,3,6,4,1,8,2,5,7,3,6,4,8,1
6,1,SS,With_Deviant,No_Concurrent_Articulation,5,6,4,2,8,1,0,0,5,8,4,2,6,1,7,3
6,2,SS,With_Deviant,No_Concurrent_Articulation,3,5,8,2,0,0,1,0,3,5,7,4,8,2,6,1
6,3,SS,With_Deviant,No_Concurrent_Articulation,6,4,8,3,1,7,0,3,6,4,8,5,1,3,7,2
6,4,SS,With_Deviant,No_Concurrent_Articulation,6,3,8,1,4,2,7,0,6,3,8,1,4,2,7,5
6,5,SS,With_Deviant,No_Concurrent_Articulation,8,3,1,2,6,4,0,0,8,1,3,6,2,4,7,5
6,6,SS,With_Deviant,No_Concurrent_Articulation,4,2,8,5,3,0,0,0,4,2,8,5,3,7,1,6
6,1,SS,No_Deviant,With_Concurrent_Articulation,5,3,2,7,1,5,0,0,3,6,2,7,5,8,4,1
6,2,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,0,6,1,3,7,2,4,8,5,1,6,3
6,3,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,3,1,8,2,4,1,7,3,6,8,5,2
6,4,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,0,1,2,4,3,6,8,5,1,7,2,4
6,5,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,8,4,1,6,8,5,2,4,7,3,1,6
6,6,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,3,5,1,7,5,3,1,6,8,4,2,7
6,1,SS,With_Deviant,With_Concurrent_Articulation,2,5,1,7,0,0,0,3,2,5,7,4,6,1,3,8
6,2,SS,With_Deviant,With_Concurrent_Articulation,2,6,1,3,0,0,0,8,2,6,3,1,4,7,5,8
6,3,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,7,4,6,1,2,3,5,2,7,4,6,8,1
6,4,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,0,0,0,8,1,2,8,5,7,4,6,3,1
6,5,SS,With_Deviant,With_Concurrent_Articulation,6,1,3,0,0,0,0,0,6,1,8,3,5,2,7,4
6,6,SS,With_Deviant,With_Concurrent_Articulation,6,5,1,0,0,0,0,3,6,1,7,4,2,8,5,3
7,1,SS,No_Deviant,No_Concurrent_Articulation,3,6,8,1,7,5,4,1,3,6,8,1,7,5,2,4
7,2,SS,No_Deviant,No_Concurrent_Articulation,8,4,2,1,6,3,8,2,8,4,7,1,6,3,5,2
7,3,SS,No_Deviant,No_Concurrent_Articulation,2,5,8,1,7,3,6,2,2,5,8,1,7,3,6,4
7,4,SS,No_Deviant,No_Concurrent_Articulation,3,6,1,8,2,5,7,4,3,6,1,8,2,5,7,4
7,5,SS,No_Deviant,No_Concurrent_Articulation,6,5,7,4,0,0,8,2,6,4,7,2,8,5,1,3
7,6,SS,No_Deviant,No_Concurrent_Articulation,6,2,8,3,7,4,1,5,6,2,8,3,7,4,1,5
7,1,SS,With_Deviant,No_Concurrent_Articulation,2,7,5,3,8,1,0,6,2,7,5,3,8,1,4,6
7,2,SS,With_Deviant,No_Concurrent_Articulation,4,1,6,8,5,0,0,2,4,1,6,8,3,5,2,7
7,3,SS,With_Deviant,No_Concurrent_Articulation,5,8,4,6,0,0,2,7,5,1,4,8,2,6,3,7
7,4,SS,With_Deviant,No_Concurrent_Articulation,6,2,5,7,0,4,0,0,6,2,5,7,3,1,4,8
7,5,SS,With_Deviant,No_Concurrent_Articulation,8,5,2,6,0,0,0,0,8,5,2,6,4,7,3,1
7,6,SS,With_Deviant,No_Concurrent_Articulation,5,7,4,2,6,8,0,1,5,7,4,2,6,8,3,1
7,1,SS,No_Deviant,With_Concurrent_Articulation,6,1,3,0,0,8,0,0,6,1,3,8,4,2,5,7
7,2,SS,No_Deviant,With_Concurrent_Articulation,7,3,2,6,0,0,0,0,7,3,6,2,4,8,1,5
7,3,SS,No_Deviant,With_Concurrent_Articulation,7,4,8,0,0,0,0,0,7,4,8,6,2,5,1,3
7,4,SS,No_Deviant,With_Concurrent_Articulation,2,6,5,1,7,8,0,0,2,6,1,3,7,4,8,5
7,5,SS,No_Deviant,With_Concurrent_Articulation,7,3,0,0,2,0,0,0,3,7,4,6,1,8,5,2
7,6,SS,No_Deviant,With_Concurrent_Articulation,6,8,4,2,0,0,0,1,6,8,4,2,5,7,3,1
7,1,SS,With_Deviant,With_Concurrent_Articulation,3,6,8,1,0,0,0,5,3,6,8,4,2,5,7,1
7,2,SS,With_Deviant,With_Concurrent_Articulation,3,6,8,0,0,0,1,4,3,6,8,4,2,5,7,1
7,3,SS,With_Deviant,With_Concurrent_Articulation,3,1,6,8,0,0,0,7,3,1,6,8,4,2,5,7
7,4,SS,With_Deviant,With_Concurrent_Articulation,3,7,5,4,0,0,0,1,3,5,7,4,8,2,6,1
7,5,SS,With_Deviant,With_Concurrent_Articulation,4,6,2,8,3,7,5,1,4,6,2,8,3,5,7,1
7,6,SS,With_Deviant,With_Concurrent_Articulation,3,5,1,8,1,0,0,0,3,5,8,6,1,4,2,7
8,1,SS,No_Deviant,No_Concurrent_Articulation,3,6,8,1,2,0,0,0,3,6,8,1,7,5,2,4
8,2,SS,No_Deviant,No_Concurrent_Articulation,8,4,7,1,0,0,0,0,8,4,7,1,6,3,5,2
8,3,SS,No_Deviant,No_Concurrent_Articulation,2,5,7,8,1,0,0,0,2,5,8,1,7,3,6,4
8,4,SS,No_Deviant,No_Concurrent_Articulation,0,0,0,8,2,5,7,4,3,6,1,8,2,5,7,4
8,5,SS,No_Deviant,No_Concurrent_Articulation,6,2,8,7,0,5,1,3,6,4,7,2,8,5,1,3
8,6,SS,No_Deviant,No_Concurrent_Articulation,0,0,0,0,7,4,1,5,6,2,8,3,7,4,1,5
8,1,SS,With_Deviant,No_Concurrent_Articulation,0,0,0,0,8,1,4,6,2,7,5,3,8,1,4,6
8,2,SS,With_Deviant,No_Concurrent_Articulation,0,0,0,0,3,5,2,7,4,1,6,8,3,5,2,7
8,3,SS,With_Deviant,No_Concurrent_Articulation,0,0,0,0,5,8,6,7,5,1,4,8,2,6,3,7
8,4,SS,With_Deviant,No_Concurrent_Articulation,0,2,0,0,7,3,1,4,6,2,5,7,3,1,4,8
8,5,SS,With_Deviant,No_Concurrent_Articulation,0,0,0,6,4,7,3,1,8,5,2,6,4,7,3,1
8,6,SS,With_Deviant,No_Concurrent_Articulation,5,7,0,0,6,8,3,1,5,7,4,2,6,8,3,1
8,1,SS,No_Deviant,With_Concurrent_Articulation,6,3,1,0,0,0,5,7,6,1,3,8,4,2,5,7
8,2,SS,No_Deviant,With_Concurrent_Articulation,7,0,0,0,0,8,3,1,7,3,6,2,4,8,1,5
8,3,SS,No_Deviant,With_Concurrent_Articulation,7,4,3,0,0,0,8,1,7,4,8,6,2,5,1,3
8,4,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,0,0,0,1,5,2,6,1,3,7,4,8,5
8,5,SS,No_Deviant,With_Concurrent_Articulation,0,7,4,0,0,0,0,6,3,7,4,6,1,8,5,2
8,6,SS,No_Deviant,With_Concurrent_Articulation,6,5,4,0,0,0,3,6,6,8,4,2,5,7,3,1
8,1,SS,With_Deviant,With_Concurrent_Articulation,6,3,0,0,0,0,7,1,3,6,8,4,2,5,7,1
8,2,SS,With_Deviant,With_Concurrent_Articulation,6,3,5,0,0,0,7,1,3,6,8,4,2,5,7,1
8,3,SS,With_Deviant,With_Concurrent_Articulation,8,3,7,0,0,0,0,1,3,1,6,8,4,2,5,7
8,4,SS,With_Deviant,With_Concurrent_Articulation,8,5,3,1,0,0,6,2,3,5,7,4,8,2,6,1
8,5,SS,With_Deviant,With_Concurrent_Articulation,4,6,3,8,2,0,0,1,4,6,2,8,3,5,7,1
8,6,SS,With_Deviant,With_Concurrent_Articulation,0,0,0,6,1,7,4,3,3,5,8,6,1,4,2,7
9,1,SS,No_Deviant,No_Concurrent_Articulation,3,6,8,1,7,6,2,4,3,6,8,1,7,5,2,4
9,2,SS,No_Deviant,No_Concurrent_Articulation,8,4,7,1,6,3,5,2,8,4,7,1,6,3,5,2
