Participant,Concurrent_Articulation,State,Deviant,pCorrect
12,With_Concurrent_Articulation,CS,With_Deviant,0.667
13,No_Concurrent_Articulation,SS,No_Deviant,0.333
13,No_Concurrent_Articulation,SS,With_Deviant,0.000
13,No_Concurrent_Articulation,CS,No_Deviant,0.500
13,No_Concurrent_Articulation,CS,With_Deviant,0.167
13,With_Concurrent_Articulation,SS,No_Deviant,0.500
13,With_Concurrent_Articulation,SS,With_Deviant,0.333
13,With_Concurrent_Articulation,CS,No_Deviant,0.500
13,With_Concurrent_Articulation,CS,With_Deviant,0.500
14,No_Concurrent_Articulation,SS,No_Deviant,0.833
14,No_Concurrent_Articulation,SS,With_Deviant,0.500
14,No_Concurrent_Articulation,CS,No_Deviant,0.667
14,No_Concurrent_Articulation,CS,With_Deviant,0.333
14,With_Concurrent_Articulation,SS,No_Deviant,0.667
14,With_Concurrent_Articulation,SS,With_Deviant,0.500
14,With_Concurrent_Articulation,CS,No_Deviant,0.833
14,With_Concurrent_Articulation,CS,With_Deviant,0.333
15,No_Concurrent_Articulation,SS,No_Deviant,0.333
15,No_Concurrent_Articulation,SS,With_Deviant,0.333
15,No_Concurrent_Articulation,CS,No_Deviant,0.833
15,No_Concurrent_Articulation,CS,With_Deviant,0.833
15,With_Concurrent_Articulation,SS,No_Deviant,0.667
15,With_Concurrent_Articulation,SS,With_Deviant,0.667
15,With_Concurrent_Articulation,CS,No_Deviant,0.500
15,With_Concurrent_Articulation,CS,With_Deviant,0.500
16,No_Concurrent_Articulation,SS,No_Deviant,1.000
16,No_Concurrent_Articulation,SS,With_Deviant,0.833
16,No_Concurrent_Articulation,CS,No_Deviant,0.833
16,No_Concurrent_Articulation,CS,With_Deviant,0.833
16,With_Concurrent_Articulation,SS,No_Deviant,0.667
16,With_Concurrent_Articulation,SS,With_Deviant,0.833
16,With_Concurrent_Articulation,CS,No_Deviant,0.833
16,With_Concurrent_Articulation,CS,With_Deviant,0.833
17,No_Concurrent_Articulation,SS,No_Deviant,0.333
17,No_Concurrent_Articulation,SS,With_Deviant,0.167
17,No_Concurrent_Articulation,CS,No_Deviant,0.167
17,No_Concurrent_Articulation,CS,With_Deviant,0.333
17,With_Concurrent_Articulation,SS,No_Deviant,0.333
17,With_Concurrent_Articulation,SS,With_Deviant,0.500
17,With_Concurrent_Articulation,CS,No_Deviant,0.333
17,With_Concurrent_Articulation,CS,With_Deviant,0.667
18,No_Concurrent_Articulation,SS,No_Deviant,0.667
18,No_Concurrent_Articulation,SS,With_Deviant,0.333
18,No_Concurrent_Articulation,CS,No_Deviant,0.333
18,No_Concurrent_Articulation,CS,With_Deviant,0.167
18,With_Concurrent_Articulation,SS,No_Deviant,0.667
18,With_Concurrent_Articulation,SS,With_Deviant,0.500
18,With_Concurrent_Articulation,CS,No_Deviant,0.833
18,With_Concurrent_Articulation,CS,With_Deviant,0.667
19,No_Concurrent_Articulation,SS,No_Deviant,1.000
19,No_Concurrent_Articulation,SS,With_Deviant,1.000
19,No_Concurrent_Articulation,CS,No_Deviant,1.000
19,No_Concurrent_Articulation,CS,With_Deviant,0.833
